id,title,category,phase,lead_weeks,priority,wedding_types,typical_cost_gbp,depends_on,guidance
admin-001,Celebrate your engagement,admin,just-engaged,78,optional,uk;destination,,,"Before any planning: enjoy it. Tell family and close friends first, then wider circles. No decisions needed this week."
admin-002,Set your overall budget,admin,just-engaged,76,essential,uk;destination,,,"Agree the total you can spend and who is contributing (you, parents, savings plan). The UK average is ~£20,600 but a quarter of couples spend under £10k. Every later decision hangs off this number."
admin-003,Estimate your guest numbers,admin,just-engaged,75,essential,uk;destination,,admin-002,"A rough day/evening split is enough. Guest count drives venue size and catering, which is 40-50% of most budgets. Decide early: adults only or children too?"
admin-004,Choose your wedding style and vision,admin,just-engaged,74,recommended,uk;destination,,,"Rustic barn, city hotel, festival field, classic church? Pick 3 words that describe the day you want. This keeps every supplier decision consistent later."
admin-005,Shortlist a season or target date,admin,just-engaged,74,essential,uk;destination,,,Hold a season and 2-3 candidate dates rather than one fixed date - venue availability will decide the final one. Peak (May-Sep Saturdays) costs 20-40% more than off-peak.
admin-008,Set up a planning hub,admin,just-engaged,72,optional,uk;destination,,,A shared email address for supplier enquiries and one place for quotes and contracts keeps two planners in sync and your personal inbox sane.
venue-001,Research venue types and areas,venue,just-engaged,72,essential,uk;destination,,admin-002;admin-003;admin-005,"Barns, hotels, stately homes, registry office plus restaurant, marquee at home. Filter by capacity, area and budget before falling in love with anywhere. Venue plus catering averages £9-11k in the UK."
guests-001,Draft your guest list,guests,just-engaged,72,essential,uk;destination,,admin-003,"Do it as households, with day/evening flags. The classic method: each partner lists must-haves, then merge, then trim together. Expect 10-20% declines."
dest-001,Choose your destination country,destination,just-engaged,72,essential,destination,,admin-002;admin-003,"Weigh flight cost/time for guests, weather in your target month (avoid hurricane/monsoon seasons), and how complex the country's marriage laws are. Expect 30-50% guest declines for weddings abroad."
legal-001,Decide your ceremony type,legal,just-engaged,70,essential,uk;destination,,,"Civil ceremony (register office or approved venue), Church of England, other religious, or celebrant-led (with a separate legal signing). This determines the whole legal pathway."
dest-002,Decide: legal ceremony abroad or legal at home,destination,just-engaged,70,essential,destination,,dest-001,"Many couples do the legal paperwork quietly at a UK register office, then hold the full celebration abroad - it sidesteps foreign bureaucracy entirely. If you marry legally abroad, budget 3-4 months for documents."
venue-002,Shortlist venues and book viewings,venue,just-engaged,68,essential,uk;destination,,venue-001,Shortlist 3-5 and view them within a couple of weeks so comparisons are fresh. Take photos and notes - they blur together fast.
venue-003,Attend venue viewings,venue,big-decisions,66,essential,uk;destination,,venue-002,"View at the time of day you'd marry. Check the wet-weather plan, accessibility for older guests, and where photos would happen."
legal-002,Contact the register office or church,legal,big-decisions,66,essential,uk;destination,,legal-001,"For civil ceremonies, check registrar availability for your date BEFORE confirming the venue - popular dates book out. For CofE, meet the vicar to confirm eligibility and date."
